,#,num_hidden_layers,neurons_per_layer,CANN,embedding_dim,batch_size,epochs,training_loss,testing_loss,bell_dev_data,portfolio_avg,alpha
33,33,3,"(100, 80, 60)",0,1,600000,100,0.2965312600135803,0.291354238986969,0.41813037,0.006345640504255216,0.1
34,34,3,"(100, 80, 60)",0,1,600000,100,0.2961786389350891,0.2904064953327179,0.43090928,0.00556169001854976,0.1
35,35,3,"(100, 80, 60)",0,1,600000,500,0.30672526359558105,0.3009972870349884,0.4214028,0.007076950418238194,0.1
36,36,3,"(100, 80, 60)",0,1,600000,500,0.2970144748687744,0.2910844385623932,0.43830767,0.005138416690599535,0.1
37,37,3,"(100, 80, 60)",0,1,600000,500,0.29595860838890076,0.2904777228832245,0.42604068,0.005830608042474926,0.1
38,38,3,"(100, 80, 60)",0,1,600000,500,0.2959713041782379,0.2903043031692505,0.4309352,0.005535618434627729,0.1
39,39,3,"(100, 80, 60)",0,2,10000,50,0.3511727750301361,0.3413085341453552,0.55244845,0.0016331923571399989,0.1
40,40,3,"(100, 80, 60)",0,2,10000,50,0.2959367036819458,0.2903304994106293,0.42935792,0.0056287722610832,0.1
41,41,3,"(100, 80, 60)",0,2,10000,50,0.29594314098358154,0.2904369831085205,0.42671084,0.005789136440064319,0.1
42,42,3,"(100, 80, 60)",0,2,10000,50,0.2960232198238373,0.2903038561344147,0.43238163,0.005451674841289732,0.1
43,43,3,"(100, 80, 60)",0,2,10000,100,0.3428628742694855,0.33339035511016846,0.540695,0.001831987572391951,0.1
44,44,3,"(100, 80, 60)",0,2,10000,100,0.29903551936149597,0.29255563020706177,0.45305988,0.004394495170280661,0.1
45,45,3,"(100, 80, 60)",0,2,10000,100,0.2959422171115875,0.2903212010860443,0.42974815,0.005605555953884067,0.1
46,46,3,"(100, 80, 60)",0,2,10000,100,0.29595038294792175,0.2904597818851471,0.42632926,0.005812675103962637,0.1
47,47,3,"(100, 80, 60)",0,2,10000,500,0.3045528829097748,0.3004170060157776,0.3923092,0.00843261908777845,0.1
48,48,3,"(100, 80, 60)",0,2,10000,500,0.2959316372871399,0.2903525233268738,0.42863664,0.005671965134702708,0.1
49,49,3,"(100, 80, 60)",0,2,10000,500,0.2959887683391571,0.2903023958206177,0.4315248,0.005501213534018737,0.1
50,50,3,"(100, 80, 60)",0,2,10000,500,0.29601186513900757,0.2903015613555908,0.4321016,0.00546780944564484,0.1
51,51,3,"(100, 80, 60)",0,2,100000,50,0.29606860876083374,0.290314644575119,0.43327397,0.005400612029720487,0.1
52,52,3,"(100, 80, 60)",0,2,100000,50,0.29592984914779663,0.2903701364994049,0.42812943,0.00570256255551333,0.1
53,53,3,"(100, 80, 60)",0,2,100000,50,0.29593005776405334,0.2903713285923004,0.42810714,0.005703913544484552,0.1
