number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_embedding_dim,params_first_neurons,params_learning_rate,params_n_layers,params_shrink_factor,params_use_l2,user_attrs_architecture,user_attrs_test_deviance,state
11,0.21181988716125488,2026-03-20 09:53:59.710157,2026-03-20 09:54:29.891710,0 days 00:00:30.181553,tanh,50000,0.1091483639020824,1,320,0.0009025232147497688,3,0.8329672304432245,False,,,PRUNED
12,0.21378543972969055,2026-03-20 09:54:29.892852,2026-03-20 09:54:56.798650,0 days 00:00:26.905798,tanh,50000,0.0012644040461387562,2,256,0.00025284710171777786,3,0.6676063441538697,False,,,PRUNED
13,0.20695152878761292,2026-03-20 09:54:56.799785,2026-03-20 09:55:38.504043,0 days 00:00:41.704258,tanh,10000,0.06441855781540282,2,272,0.0028931870971305525,4,0.4557843954582743,False,,,PRUNED
14,0.808506638870551,2026-03-20 09:55:38.505180,2026-03-20 09:55:59.132260,0 days 00:00:20.627080,selu,50000,0.11593693709215491,4,288,0.019131237077433024,4,0.8182059814752998,False,"[288, 235, 192, 157]",0.808506638870551,COMPLETE
15,0.21292679011821747,2026-03-20 09:55:59.133669,2026-03-20 09:56:23.270844,0 days 00:00:24.137175,selu,10000,0.23122427394216055,1,224,0.000351685382141351,7,0.6589845935755348,False,,,PRUNED
16,0.21037720143795013,2026-03-20 09:56:23.271999,2026-03-20 09:56:54.924505,0 days 00:00:31.652506,tanh,50000,0.04110367130237247,2,304,0.0025951402102533526,3,0.7478142437489216,False,,,PRUNED
17,0.3025757419173948,2026-03-20 09:56:54.925660,2026-03-20 09:58:43.806066,0 days 00:01:48.880406,tanh,10000,0.08417685621578122,3,240,0.0005958822845607949,6,0.9469732655687926,False,"[240, 227, 215, 203, 193, 182]",0.3025757419173948,COMPLETE
18,0.21310199797153473,2026-03-20 09:58:43.807271,2026-03-20 09:59:05.259398,0 days 00:00:21.452127,selu,50000,0.1470747314361692,3,160,0.0017077421204473432,4,0.8272109242130417,True,,,PRUNED
19,0.21888285875320435,2026-03-20 09:59:05.260599,2026-03-20 09:59:34.561257,0 days 00:00:29.300658,relu,100000,0.01863971929194319,2,288,0.00015026512541907648,3,0.6242146174860264,False,,,PRUNED
20,0.21222610771656036,2026-03-20 09:59:34.562651,2026-03-20 09:59:55.162135,0 days 00:00:20.599484,selu,50000,0.09176067381276284,4,320,0.0005324540068382164,5,0.5036904509332935,False,,,PRUNED
21,0.30277058982038135,2026-03-20 09:59:55.163375,2026-03-20 10:01:30.173740,0 days 00:01:35.010365,tanh,10000,0.08622160820504012,3,240,0.0005983551062810373,6,0.9364006108321898,False,"[240, 224, 210, 197, 184, 172]",0.30277058982038135,COMPLETE
22,0.30295461647706157,2026-03-20 10:01:30.175154,2026-03-20 10:03:16.708400,0 days 00:01:46.533246,tanh,10000,0.1445016346268907,3,272,0.0013122794701005169,7,0.8804196866294807,False,"[272, 239, 210, 185, 163, 143, 126]",0.30295461647706157,COMPLETE
23,0.21171945333480835,2026-03-20 10:03:16.709910,2026-03-20 10:03:52.241106,0 days 00:00:35.531196,tanh,10000,0.03147262432407714,3,224,0.0005368548185957903,6,0.41872142513760485,False,,,PRUNED
24,0.21362416446208954,2026-03-20 10:03:52.242266,2026-03-20 10:04:49.480351,0 days 00:00:57.238085,tanh,10000,0.08658641305345247,2,288,0.00016221804897732542,7,0.7899774898919703,False,,,PRUNED
